doll_id,FA_merged_새벽기상,FA_merged_식전약,FA_merged_아침아침,FA_merged_식후약,FA_merged_저녁저녁,FA_merged_늦잠,FA_logEAR_겨울,FA_logEAR_활동다양성,FA_logEAR_여름,FA_logEAR_회상,FA_logEAR_종교,FA_logEAR_운동/퀴즈,FA_logEAR_영어,FA_logYMD_브레인,FA_logYMD_겨울,FA_logYMD_여름,FA_logYMD_봄,cluster22,cluster23,cluster33,cluster43,cluster_x22,cluster_y22,cluster_x23,cluster_y23,cluster_x33,cluster_y33,cluster_x43,cluster_y43,state_기타,state_문의/답변,state_안부,state_연결끊김,state_연락필요,reason기타,reason병원/수술,reason여행/친척/지인집,reason전원Off,call_send,emergency_month1,emergency_month2,emergency_month3,emergency_month4,emergency_month5,emergency_month6,emergency_month7,emergency_month8,emergency_month9,emergency_month10,emergency_month11,emergency_month12,emergency_hour0,emergency_hour1,emergency_hour2,emergency_hour3,emergency_hour4,emergency_hour5,emergency_hour6,emergency_hour7,emergency_hour8,emergency_hour9,emergency_hour10,emergency_hour11,emergency_hour12,emergency_hour13,emergency_hour14,emergency_hour15,emergency_hour16,emergency_hour17,emergency_hour18,emergency_hour19,emergency_hour20,emergency_hour21,emergency_hour22,emergency_hour23,emergency_night,emergency_evening,emergency_afternoon,emergency_morning,emergency_dawn
131131,-0.7999048350867052,0.2531299541775235,0.2362455060768749,1.6358601990452353,0.2950174098629037,-0.5659553795890999,1.5238912589317832,-0.6291441793495568,-0.2387653526477134,-0.6990312763310739,-0.6898928639962204,0.7206468917416016,-1.0842801169634309,1.5784770708548808,1.2492517779702512,0.0012354114516262705,1.1442839600340868,"(0, 0)","(1, 2)","(1, 0)","(1, 1)",0,0,1,2,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,46.0,58.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,8.0,0.0,2.0,18.0,6.0,10.0,2.0,8.0,2.0,10.0,23.0,39.0,2.0,0.0,41.0,43.0,38.0,18.0,2.0
131132,1.607795680069963,-0.8195802345453084,0.21326574130953124,0.010369999214974144,0.17846703881177972,0.7263927498154465,1.8555453902937258,0.9739845468895156,0.0838963294186409,-1.1106288409846954,-0.3195324819224394,-0.32676054456450543,-0.9529680519237024,1.0913757760694267,1.3527910105150478,0.2420845163353047,1.259889989061528,"(0, 0)","(1, 2)","(2, 0)","(0, 0)",0,0,1,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,6.0
131133,1.4365391108455063,-0.7445926956709421,0.3315002714180617,0.030772663982337495,0.2563242704272792,-0.39348114203714457,1.3274411404999726,0.5218144964846785,0.2849050467578062,-0.6560572980245942,-0.15695533392302494,0.4407090730621135,-0.3981588022142336,1.403408377329184,1.1789237654707532,0.01472881558765486,1.0604961166430835,"(0, 0)","(1, 2)","(2, 0)","(0, 0)",0,0,1,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,14.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,0.0,8.0,6.0,4.0,10.0,4.0,6.0,2.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,20.0,30.0,20.0,2.0
131134,1.3016187382877633,-0.04663126432366837,0.20865884319624364,0.4852176160609713,0.2350408357966275,-0.4069549791413773,1.4357682679485877,-0.7049698004711017,0.07445969658161848,-0.5781394977212014,1.499584747937031,-0.046999472336450604,-0.7533342185592078,0.2606081214753328,1.2408429528859373,-0.0790592947826083,0.5128507590862823,"(1, 1)","(0, 2)","(1, 0)","(0, 0)",1,1,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,4.0,4.0,2.0,10.0,0.0,0.0,10.0,10.0,12.0,4.0,0.0
131135,1.172992541299789,0.4163665561587375,0.16358344128524324,0.9633567546730394,0.2155789732219869,-0.4409792973913963,0.9294033411189326,0.07371203869420773,0.5792175615644822,-0.54873663391824,0.7970615088228876,0.16789773889823895,-0.2553891980123784,0.2497968553895481,1.1678011944833768,0.12745171409408168,1.0506564627141428,"(1, 1)","(0, 2)","(1, 0)","(0, 0)",1,1,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,6.0,12.0,4.0,8.0,0.0,12.0,24.0,8.0,14.0,0.0
131136,1.3717926607161457,-0.4767157442868532,0.3195843522568827,0.768939252688135,0.2715435836256478,-0.5104110103910574,0.4544545149545979,0.4359035688118573,0.15441545282871685,-0.8970249270916469,-0.6848984752311189,0.4875269775543994,-0.746281585392034,0.9861811432805097,1.0043642556669583,-0.25806799555072385,0.8399552053565938,"(0, 0)","(1, 2)","(1, 0)","(0, 0)",0,0,1,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,128.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,4.0,4.0,4.0,32.0,8.0,6.0,6.0,4.0,4.0,22.0,16.0,72.0,12.0,0.0,84.0,46.0,56.0,28.0,0.0
131138,1.0824588886787263,0.631430209576953,0.22230116029997135,-0.5723444739939196,0.2328886556524821,-0.3298047192294227,2.0640270375191085,0.9565245428478368,-0.20188115082819552,0.3954865619352542,-0.27257442412113203,0.4880993431127058,-0.7743178067889497,3.3991369701776626,1.1574579976717665,0.08223241894471889,1.1071365139527949,"(0, 0)","(0, 2)","(2, 0)","(0, 0)",0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0
131140,-0.6273464486316792,-0.039173392903599114,0.19180933685204676,0.6774769514606198,0.25812645936433515,-0.3528481056205308,1.9545232205140528,1.1168566063379948,-0.1184949028152706,0.8108761486872895,0.35146479358399946,0.27310301046292523,-0.5812235552427198,2.416341523855337,1.2476786992653874,0.10012323299259017,1.1613387711684189,"(0, 0)","(0, 2)","(2, 0)","(0, 0)",0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0
131147,-0.8417543092312798,0.25798971326711,0.3239179320246313,-0.3021529672716872,0.2987733822153733,-0.3398967251469025,0.14888408812398196,-0.2471938662062689,-0.7463044836948175,-1.5553150435416685,-1.1557279126683304,-1.1197570108202426,-0.5022249038628139,-0.0884881338844229,0.5273393166275584,-0.4080683473424692,0.9344976991104806,"(0, 0)","(1, 1)","(1, 2)","(1, 0)",0,0,1,1,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
131148,-0.6504022809945766,-0.6324610396378069,0.2582667367316065,-0.5528500583843526,0.31934152489070955,-0.2664339500582116,-0.8158035175218646,-0.3900860259346357,0.4775539306635107,0.4442046314298197,0.6539484882564844,0.5297076238362167,0.8025337945350242,-0.2800669352936822,0.5152512830519047,0.18054996438909066,-1.507500268598492,"(0, 1)","(0, 0)","(1, 1)","(3, 0)",0,1,0,0,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
