emergency_month1,emergency_month2,emergency_month3,emergency_month4,emergency_month5,emergency_month6,emergency_month7,emergency_month8,emergency_month9,emergency_month10,emergency_month11,emergency_month12,emergency_night,emergency_evening,emergency_afternoon,emergency_morning,emergency_dawn
0.74091685,0.280578076839447,0.00033229589462280273,0.2367316484451294,0.3058403432369232,1.8734388430234443e-14,1.0,0.0754472017288208,0.058836132287979126,0.9422552585601807,0.4802953004837036,0.9202331900596619,0.0249483585357666,0.9999935626983643,0.9520021677017212,0.9999933838844299,0.38870126008987427
7.426001e-08,1.5376264173028176e-07,8.045318367067011e-08,0.00028699636459350586,0.007112473249435425,1.4817334780276402e-20,5.659293123017051e-08,0.0007796287536621094,5.428304348242818e-07,0.00032445788383483887,2.499577749404125e-05,0.010182201862335205,5.46173696547303e-12,2.8371141524985433e-06,0.44071853160858154,0.0006380677223205566,7.203061613836326e-06
1.7573321e-06,0.007575273513793945,0.007140159606933594,0.18001976609230042,0.11231353878974915,6.441443929361412e-06,1.0,3.189883202026067e-08,0.13251355290412903,0.0015251636505126953,0.007357239723205566,0.33708733320236206,0.27535104751586914,0.9999942779541016,0.9520021677017212,1.0,0.007754802703857422
1.9611493e-11,0.8349600434303284,2.022972678261681e-09,0.0005350708961486816,0.6418246030807495,7.111329978215508e-07,0.0006873607635498047,4.366592265721281e-13,1.542198151582852e-05,5.425216942356315e-10,9.019976232593763e-08,0.00022605061531066895,0.00143510103225708,0.9218392372131348,0.8246301412582397,1.0,5.848780801898101e-06
0.050723493,1.8118964362656698e-05,2.9892742077208823e-06,0.008427441120147705,0.17626208066940308,1.7698436067803414e-06,0.9918052554130554,0.9997254610061646,0.9998348951339722,0.06930816173553467,0.0029481053352355957,0.1404956579208374,0.00038185715675354004,0.005033224821090698,0.9178063869476318,0.9991134405136108,0.10588797926902771
3.879828e-08,2.641802554492756e-09,3.3675031652080634e-09,3.0985080456957803e-07,0.0002944767475128174,1.908623676856805e-13,0.03978458046913147,2.4041757569648325e-05,9.037428583269502e-10,9.105361797878686e-09,7.887917519155963e-08,6.810938066337258e-05,6.059989084229465e-23,3.776290835588725e-09,0.04255977272987366,0.22613626718521118,8.023741315810184e-08
0.99999636,0.9275206327438354,0.9995646476745605,1.0,0.8382529616355896,6.370924563804228e-17,1.0,1.0,0.9999321103096008,0.9945433139801025,0.9970521926879883,0.9969201683998108,0.9984419345855713,1.0,0.9520021677017212,0.9999990463256836,0.9999992847442627
3.246051e-14,2.569454926604209e-10,6.2189274103729986e-06,1.0916529618043569e-06,0.0006282627582550049,4.5420108563121175e-07,0.9999985098838806,1.5607007526341476e-06,0.016513019800186157,3.6360919830613625e-10,0.001292496919631958,4.935671427119814e-08,0.0002942979335784912,0.12814116477966309,0.9484272003173828,1.0,3.174948233208852e-06
8.3256427e-20,1.112225193713597e-20,6.458186874169769e-08,0.03239506483078003,0.07677873969078064,3.947468030673917e-06,1.0,3.660274524008855e-05,9.367695508188945e-10,4.752843152139481e-14,8.146590979379434e-29,7.544634395533038e-21,6.595163082323552e-09,0.04587656259536743,0.9520021677017212,1.0,0.019940346479415894
1.4583627e-06,3.3971089830053813e-12,1.5589526891623962e-10,7.152438001867267e-07,0.0004858672618865967,1.5642735801629461e-16,0.9996407628059387,0.0014543533325195312,1.766960355809033e-09,1.2413998717875074e-08,2.1095708291340998e-08,0.02674826979637146,1.0316785620245739e-11,1.208474742497856e-07,0.9520021677017212,0.7811165452003479,3.630672429366655e-10
8.630301e-07,3.5584957913670223e-07,0.0009038150310516357,0.8476652503013611,0.9978823661804199,2.8040247343597002e-05,0.9983800649642944,0.9994012117385864,8.36030000783694e-09,1.9858495647895325e-07,7.248809528109408e-18,5.743178917327896e-05,0.9918646812438965,0.9943099021911621,0.9520021677017212,1.0,0.8326208591461182
9.5554554e-08,1.582784792120151e-09,3.5266134545963723e-07,5.6246775784529746e-05,0.061761170625686646,2.6842404167448652e-12,1.0,0.00010163987462874502,2.419224154337485e-09,0.9758939743041992,4.1243541915036985e-09,1.4457892660857397e-09,2.744944938015692e-09,0.970085859298706,0.9520021677017212,0.16102349758148193,2.432523388051777e-06
0.9991476,0.7716485261917114,0.9406687021255493,0.9947836995124817,0.04622355103492737,0.00017207860946655273,1.0,9.344582940684631e-05,0.9108882546424866,0.028914690017700195,0.5775457620620728,0.9921303987503052,0.90804123878479,0.9999992847442627,0.9520021677017212,1.0,0.9991339445114136
4.7030957e-05,0.0846858024597168,0.01202365756034851,0.002864927053451538,0.29734623432159424,4.6233988541644067e-05,1.0,0.0015639066696166992,0.990912914276123,0.0812673270702362,0.994624137878418,0.9976104497909546,0.9350063800811768,0.7429514527320862,0.9520021677017212,0.9999994039535522,0.03120899200439453
9.0731844e-13,5.129976443640771e-08,9.012418558995705e-06,0.00019493699073791504,0.0002640187740325928,0.0003097653388977051,0.9935583472251892,6.811986622778932e-06,1.9997313527309046e-10,2.115034883343192e-11,2.8338553725859583e-10,5.374430900317861e-10,0.0013817250728607178,0.00012922286987304688,0.21082225441932678,0.563021719455719,3.597845354974538e-10
0.36714357,0.6643020510673523,0.5945329666137695,0.3375534117221832,0.11304301023483276,2.106197054184571e-16,1.0,0.010294348001480103,0.734312117099762,0.003275930881500244,0.1459326148033142,0.3782588541507721,0.9444055557250977,0.9999939799308777,0.9520021677017212,0.9999897480010986,0.9575979113578796
7.333142e-13,2.162698492513826e-11,1.1713061098816979e-07,2.886794163714512e-07,0.0006719827651977539,1.0088105698025096e-11,0.9998065233230591,3.761252642675572e-09,9.091182667786413e-13,2.4615856020204774e-09,3.8326339324434855e-10,2.036147179751424e-06,1.2366736087054356e-15,9.491521382187784e-07,0.6429994106292725,0.9791825413703918,2.015933600607589e-11
0.07567355,9.443958948196496e-10,1.985221018685479e-07,8.97290010470897e-06,0.0004291832447052002,2.855320424544061e-09,1.0,0.9162968397140503,3.1085323204393944e-09,0.000272601842880249,5.211288467421582e-08,0.00024110078811645508,8.240967872552574e-07,0.021094709634780884,0.9520021677017212,0.9842056632041931,0.07205912470817566
1.9003527e-24,3.9655712047448333e-10,0.9672427177429199,1.0507012859761744e-07,0.001129239797592163,1.4676285767191086e-15,0.9999422430992126,0.00022968649864196777,1.2432316225385875e-06,0.9894628524780273,3.7407251991568154e-21,6.052997214567313e-09,4.0064868089828565e-11,0.9999728202819824,0.9520021677017212,1.0,0.0014640986919403076
1.672811e-26,3.4317868546906993e-09,0.00017943978309631348,1.6360911104129627e-05,0.0031559765338897705,2.607084253342107e-12,0.9999996423721313,2.884767091870799e-08,2.1460220523294993e-05,1.9495607385400238e-12,1.7033968680024714e-09,6.194514070670759e-18,6.244920223252848e-05,0.008997023105621338,0.017082184553146362,0.9042103290557861,0.15308156609535217
0.00010890659,0.04007840156555176,0.4689391851425171,0.03722161054611206,0.09754043817520142,0.0007818639278411865,0.0059969425201416016,0.8685617446899414,0.24205389618873596,0.5608846545219421,0.03980138897895813,0.044487446546554565,0.00018456578254699707,0.4234757125377655,0.8638520240783691,0.8687111735343933,0.00016415119171142578
0.30461514,0.0007671117782592773,0.004324048757553101,0.1501712203025818,0.23586589097976685,1.6288791917999754e-15,1.0,0.9986667633056641,0.04740244150161743,0.9939315319061279,0.05135142803192139,0.885028600692749,0.9836201667785645,0.9999752640724182,0.9520021677017212,0.9997304081916809,0.8911244869232178
0.013527483,0.048970311880111694,0.09996506571769714,0.1194908618927002,0.1873563826084137,5.763283739135261e-10,1.0,0.9951055645942688,0.7905683517456055,0.9974650144577026,0.0037645697593688965,0.9987764358520508,0.9995757937431335,0.9699387550354004,0.9520021677017212,0.9999834299087524,0.011979103088378906
0.76024985,0.10268181562423706,0.07301723957061768,0.45701438188552856,0.11645641922950745,8.695214910177533e-23,1.0,0.983823835849762,0.34369683265686035,0.046146661043167114,0.3049905002117157,0.9737833738327026,0.1225430965423584,1.0,0.9520021677017212,0.9998818635940552,0.9992375373840332
2.0217009e-08,0.010650604963302612,0.03393155336380005,0.0029743611812591553,0.008677363395690918,0.001743227243423462,0.9492547512054443,0.00513380765914917,0.004103034734725952,0.0002568662166595459,0.9717034697532654,0.05357480049133301,0.1226123571395874,0.9372406005859375,0.88548743724823,0.9995699524879456,3.480055283944239e-06
9.639649e-05,1.8482955056242645e-05,4.111001089768251e-06,0.003427743911743164,0.02856197953224182,4.5563756430055946e-05,1.0,0.9935263395309448,0.790202796459198,0.9821024537086487,0.0003788173198699951,0.3569169044494629,0.9889109134674072,0.4998527467250824,0.9520021677017212,0.9981919527053833,0.08861902356147766
4.740205e-14,3.020579377785184e-17,1.001631844133044e-08,2.6445515999284908e-08,0.00013694167137145996,2.4033067802520236e-07,0.9999985694885254,0.0051202476024627686,4.35653930708213e-07,1.1917380060219585e-12,1.5329146840770136e-09,8.011694085929832e-11,1.3168196120647534e-14,0.0002320408821105957,0.6182206273078918,1.0,0.00013437867164611816
0.0005928874,0.6455236673355103,0.029360204935073853,0.020043790340423584,0.0020567476749420166,7.221237319754437e-05,0.9193894863128662,0.9047664403915405,0.8497090339660645,0.0006792843341827393,0.9991661310195923,0.9410287141799927,0.9964262247085571,0.7096420526504517,0.8183513879776001,0.9420504570007324,1.232848171639489e-05
8.895047e-09,3.919016307918355e-06,0.04378047585487366,0.0015398263931274414,0.2532220482826233,6.3184976911444944e-18,0.0017630457878112793,8.391989831579849e-05,0.0008120536804199219,0.9374418258666992,0.9572529792785645,0.014218837022781372,8.629641445878633e-11,0.0003421902656555176,0.6999066472053528,0.9997413754463196,0.9932911396026611
1.0155873e-05,2.483500907146663e-07,2.7942996894125827e-05,0.0002592504024505615,0.30686840415000916,8.889128366718069e-07,1.0,4.414969589561224e-05,0.02277037501335144,0.00026223063468933105,0.0018676221370697021,0.9681110382080078,0.0022048652172088623,0.011250436305999756,0.9520021677017212,0.999998927116394,0.0007014870643615723
0.00073745847,4.945867715377972e-08,0.00017949938774108887,5.8721794630400836e-05,0.001010209321975708,1.844225494096463e-06,1.0,0.014115661382675171,0.0002573728561401367,8.23763184598647e-06,4.251545249189803e-08,0.0009736120700836182,2.915302957262611e-06,0.007468730211257935,0.9520021677017212,0.9979519248008728,0.005658060312271118
0.001457423,8.376109528196451e-11,5.00368813050045e-09,0.0008087754249572754,0.3693803548812866,1.4306253603990626e-07,1.0,0.9827864170074463,0.015009492635726929,0.06735581159591675,9.181940541225231e-09,0.08037301898002625,0.018682748079299927,0.8761749267578125,0.9520021677017212,0.9999998211860657,4.3868411012226716e-05
0.99558336,0.9236804842948914,0.8776450157165527,0.635068416595459,0.737802267074585,0.000604778528213501,1.0,0.9997682571411133,0.9998642802238464,0.999911904335022,0.9988056421279907,0.9999988079071045,0.988461971282959,0.9516329169273376,0.9520021677017212,0.9999991655349731,0.899702787399292
0.808179,0.0002905428409576416,7.710792124271393e-05,0.43489181995391846,0.06161138415336609,1.9151394359262497e-10,1.0,0.0061584413051605225,2.3307315132115036e-05,0.9869594573974609,0.0005647838115692139,0.5530359148979187,0.08149087429046631,0.9999547004699707,0.9520021677017212,0.9999885559082031,0.343747615814209
0.00014191866,3.3022389076681202e-12,3.5810858207696583e-06,0.0008667111396789551,0.0717853307723999,3.2649788905478316e-13,0.00997897982597351,0.9200040102005005,0.0005004405975341797,0.8550757169723511,6.840758578618988e-05,3.7388545024441555e-05,2.320855096646368e-12,1.4628451481257798e-06,0.11580613255500793,0.7801124453544617,0.0004412531852722168
