"call_id";"doll_id";"user_id";"call_confirm";"call_year";"call_month";"call_day";"call_hour"
1;128030;7443;0;2020;5;23;8
2;128030;7443;0;2020;5;23;18
3;128182;7962;0;2020;5;23;21
4;128123;7609;0;2020;5;24;6
5;128123;7942;0;2020;5;24;6
6;128123;7609;0;2020;5;24;6
7;128123;7942;0;2020;5;24;6
8;128030;7443;0;2020;5;24;10
9;128030;7443;0;2020;5;24;13
10;128162;7959;0;2020;5;25;3
11;128030;7443;0;2020;5;25;7
12;128146;7443;0;2020;5;25;11
13;128146;7443;0;2020;5;25;13
14;128195;7443;0;2020;5;25;16
15;128222;7950;0;2020;5;25;17
16;128222;7950;0;2020;5;25;17
17;128123;7609;0;2020;5;25;17
18;128123;7942;0;2020;5;25;17
19;128123;7609;0;2020;5;25;19
20;128123;7942;0;2020;5;25;19
21;128162;7959;0;2020;5;25;20
22;128210;7443;0;2020;5;25;20
23;128195;7443;0;2020;5;25;20
24;128085;7609;0;2020;5;25;21
25;128085;7954;0;2020;5;25;21
26;128222;7950;0;2020;5;25;21
27;128195;7443;0;2020;5;25;21
28;128222;7950;0;2020;5;25;21
29;128196;7443;0;2020;5;25;21
30;128195;7443;0;2020;5;25;21
31;128222;7950;0;2020;5;25;21
32;128210;7443;0;2020;5;25;21
33;128215;7443;0;2020;5;25;21
34;128222;7950;0;2020;5;25;22
35;128215;7443;0;2020;5;25;22
36;128130;7947;0;2020;5;25;22
37;128130;7947;0;2020;5;25;23
38;128195;7443;0;2020;5;25;23
39;128195;7443;0;2020;5;25;23
40;128123;7609;0;2020;5;26;7
41;128123;7942;0;2020;5;26;7
42;128123;7609;0;2020;5;26;7
43;128123;7942;0;2020;5;26;7
44;128030;7443;0;2020;5;26;7
45;128130;7947;0;2020;5;26;9
46;128185;7443;0;2020;5;26;14
47;128185;7443;0;2020;5;26;14
48;128146;7443;0;2020;5;26;14
49;128146;7443;0;2020;5;26;14
50;128146;7443;0;2020;5;26;14
51;128130;7947;0;2020;5;26;18
52;128240;7429;0;2020;5;27;15
53;128244;7443;0;2020;5;27;17
54;128085;7609;0;2020;5;27;20
55;128085;7954;0;2020;5;27;20
56;128240;7429;0;2020;5;28;14
57;128240;7429;0;2020;5;28;14
58;128123;7609;0;2020;5;28;20
59;128123;7942;0;2020;5;28;20
60;128130;7947;0;2020;5;28;20
61;128177;7443;0;2020;5;29;11
62;128123;7609;0;2020;5;29;12
63;128123;7942;0;2020;5;29;12
64;128123;7609;0;2020;5;29;12
65;128123;7942;0;2020;5;29;12
66;128254;7974;0;2020;5;29;15
67;128254;7974;0;2020;5;29;15
68;128255;7975;0;2020;5;29;16
69;128085;7609;0;2020;5;29;20
70;128085;7954;0;2020;5;29;20
71;128147;7949;0;2020;5;30;14
72;128147;7949;0;2020;5;30;14
73;128162;7959;0;2020;5;30;14
74;128162;7959;0;2020;5;30;21
75;128162;7959;0;2020;5;30;22
76;128123;7609;0;2020;5;31;7
77;128123;7942;0;2020;5;31;7
78;128085;7609;0;2020;5;31;7
79;128085;7954;0;2020;5;31;7
80;128162;7959;0;2020;5;31;7
81;128162;7959;0;2020;5;31;15
82;128162;7959;0;2020;5;31;15
83;128162;7959;0;2020;5;31;18
84;128162;7959;0;2020;5;31;20
85;128162;7959;0;2020;5;31;20
86;128257;7443;0;2020;6;1;10
87;128259;7976;0;2020;6;1;19
88;128162;7959;0;2020;6;1;19
89;128259;7976;0;2020;6;1;23
90;128260;7977;0;2020;6;2;10
91;128262;7974;0;2020;6;2;13
92;128263;7974;0;2020;6;2;13
93;128264;7974;0;2020;6;2;13
94;128265;7974;0;2020;6;2;14
95;128266;7974;0;2020;6;2;14
96;128266;7974;0;2020;6;2;14
97;128267;7974;0;2020;6;2;14
98;128267;7974;0;2020;6;2;14
99;128266;7974;0;2020;6;2;15
100;128268;7974;0;2020;6;2;17
101;128270;7974;0;2020;6;3;13
102;128270;7974;0;2020;6;3;19
103;128081;7609;0;2020;6;4;11
104;128081;7953;0;2020;6;4;11
105;128267;7974;0;2020;6;4;19
106;128266;7974;0;2020;6;4;21
107;128085;7609;0;2020;6;5;4
108;128085;7954;0;2020;6;5;4
109;128030;7443;0;2020;6;5;10
110;128240;7429;0;2020;6;5;10
111;128240;7429;0;2020;6;5;11
112;128261;7977;0;2020;6;5;15
113;128266;7974;0;2020;6;5;15
114;128261;7977;0;2020;6;5;15
115;128261;7977;0;2020;6;5;16
116;128261;7977;0;2020;6;5;16
117;128257;7443;0;2020;6;5;16
118;128261;7977;0;2020;6;5;16
119;128266;7974;0;2020;6;5;18
120;128085;7609;0;2020;6;6;10
121;128085;7954;0;2020;6;6;10
122;128085;7609;0;2020;6;7;8
123;128085;7954;0;2020;6;7;8
124;128085;7609;0;2020;6;7;9
125;128085;7954;0;2020;6;7;9
126;128123;7609;0;2020;6;7;13
127;128123;7942;0;2020;6;7;13
128;128266;7974;0;2020;6;8;9
129;128162;7959;0;2020;6;8;10
130;128162;7959;0;2020;6;8;12
131;128130;7947;0;2020;6;8;13
132;128257;7443;0;2020;6;9;11
133;128240;7429;0;2020;6;9;14
134;128257;7443;0;2020;6;9;17
