,FA_merged_새벽기상,FA_merged_식전약,FA_merged_아침아침,FA_merged_식후약,FA_merged_저녁저녁,FA_merged_늦잠,FA_logEAR_장기이용,FA_logEAR_활동다양성,FA_logEAR_여름가을,FA_logEAR_종교인,FA_logEAR_차분취미,FA_logEAR_활동취미,FA_logEAR_지적취미,FA_logYMD_브레인,FA_logYMD_겨울,FA_logYMD_여름,FA_logYMD_봄,cluster23,cluster_x23,cluster_y23
131017,0.7024532008380368,0.9354342725668089,-2.4669087961187675,-0.4306637838199794,0.09215761012385713,-0.040220948081002,-0.7452934717881982,-1.011434876110434,-0.157640799728866,-1.0304933230347932,-0.9927713733406637,-0.15067763502577136,-1.197302659333806,-0.7362396609897456,0.11477196495418894,0.14181039937495987,-1.9799540445121395,"(0, 1)",0,1
131018,0.6372000103529989,1.119577423088461,-2.34908116856044,0.24552430265618186,0.10251278395206954,0.03452061982851617,-0.7579721294921654,0.15705087712925248,0.3038190465019252,-0.7303766316378992,-0.795567691995086,-0.7497463143985054,0.03804496811282371,-0.7388634451530528,1.0519000877051066,-0.2312230997641196,-1.4222047241084161,"(0, 1)",0,1
131019,-0.8638402199188324,0.05172982998103402,0.07776388944448111,0.3717419499758187,0.2831403350641871,-0.34601652144000244,-0.7375409642058396,-1.2668240177812047,0.3984492599901873,3.277029953950403,-0.7462909040519943,-2.0751736547053783,-0.7331682477806786,-0.661881514607338,1.302484875957617,-0.06282516043117112,-0.5812726603551296,"(1, 0)",1,0
131020,1.2562188168366992,0.03624783408251847,0.20371265474188388,0.6166423559802235,0.21801817206558474,-0.29108279314349333,-0.8094836163305533,-0.8490516050452044,-0.21958681256444806,-1.4370187330934627,-1.6238606450195137,-2.1708690485332958,-1.300910488820246,-0.18259492582019815,1.2818401231044763,0.277317231579371,0.7461999433690354,"(1, 1)",1,1
131021,-0.8644171851476644,0.41167697238718876,0.11025920907371628,1.4855019324288592,0.2679141902387382,-0.4175261487313649,-0.1472695494118908,-1.8495551198804616,0.506175695499865,3.278137738038461,0.12210575880237477,-0.9717215646849562,-0.130630054980438,1.3254091707090934,1.5191194176776777,0.2511663842381583,1.0759124796629143,"(1, 1)",1,1
131022,1.1357823402414962,-0.516253019552923,-2.0810167614640482,-0.573477255574304,0.13942452131886018,0.07402311967810991,3.380263474041571,0.8994742897348766,2.539438172874461,-0.6250934822936627,-0.9599653415464405,-0.2678517806576995,-0.8146624975265777,1.3491905682312915,1.4907042363594334,0.2655423837512597,1.0258963946499442,"(1, 2)",1,2
131023,1.0687938274058693,0.8399615479846262,0.1456305846702912,0.5542289155853197,0.22215113394043665,-0.36911529632752227,3.174738817709452,-0.17569118015060575,2.5744844126744098,0.32253543182782396,-0.8569377426887061,0.13308575530223554,-0.7703809530510627,2.3406124422425205,1.4033049814784648,0.2279815506140251,0.956540481860565,"(1, 2)",1,2
131025,-1.2372661536221112,-0.8159673271860763,0.7202732994301467,-1.7848249517352903,0.5046287908822151,-0.0541071057792161,-0.5484365850710311,-0.5805324883113699,0.031875174750162515,1.4188763519653411,-0.8787922349854669,-0.004508777297810485,-0.637282190501343,0.29361932193494544,1.2960961063476255,0.2628069276873734,0.7921248791628854,"(1, 1)",1,1
131026,-0.4116209222426933,-0.048479881841372655,-2.8075041970413315,0.5853701960664992,-0.9215446587623588,4.94155998431977,-0.4811552159764239,-0.16928253063888155,0.20676000980134168,1.0209669359988505,0.07087887962824847,0.6792278483411334,-0.3953573701778441,0.05420466356391989,1.190466208160397,-0.06604401754996597,0.6232194915908169,"(0, 2)",0,2
131027,1.1768287416764691,-0.5304802871574887,-2.1450246620946682,0.19712283600720784,0.11515311585122066,-0.04543975792269695,1.8172097873194746,0.9767759848897046,1.8980288336049773,-0.0680983655393148,0.24094351471279313,0.9885898413937837,-0.14732040584078476,2.436545371624877,1.182388790360939,0.31153610314084135,0.7446850845848995,"(1, 2)",1,2
131028,0.8897937945920593,2.0544370356550807,0.15236163721778276,1.5444797984652885,0.2273699122679049,-0.39786133556394354,2.43408948615668,1.3671150143736335,2.077450377198433,0.4273138724577527,0.6359538296316277,1.2407927863358241,1.128996910296681,3.3820295183765614,1.3060945053964728,0.3094152396117411,0.841411392458143,"(1, 2)",1,2
131029,1.4225622086099394,-0.6307128088734952,0.33273543363557584,0.593404275400156,0.2536404823658364,-0.38133997309524714,1.878202116147473,1.080144473158531,1.9063488489379754,-0.20581763189873042,0.15126456116688192,0.47497124299298593,-0.40482241393196355,1.7740272822934113,1.4061667052931919,0.2854937989710145,0.9362956091820518,"(1, 2)",1,2
131030,-1.3051635080529984,-0.5277235087354425,0.6292426537391951,0.9013994763738299,0.48761058164622373,-0.34843873809641307,1.0839039966811708,-0.6115342747558705,1.3972648737175268,0.4793912815058164,-1.030637026131791,-1.7230725378765035,-0.9278810967584964,-0.03656453140843687,1.2813175270341368,0.27127074329384127,0.7608995842288793,"(1, 1)",1,1
131031,-1.175581933369825,2.013742249289311,0.06969467243571001,-0.7284091198484846,0.2840928504540712,-0.1401518874372511,0.8903500107596529,1.0005626740334317,1.2077909621174596,0.36332228477789275,-0.26558357730360804,1.1989116869967809,0.8367759778233479,1.2459565059936757,1.1531859122686963,0.027765628994699903,0.6459445882148596,"(1, 2)",1,2
131032,-0.4352414251638891,-0.9899665770817992,0.31113114174572065,-0.17243263993096458,0.2946037827665105,-0.24386711805759909,-0.3330264921022311,1.0036831810240983,0.45139521645113584,-0.5344556295068685,-0.29402364005487736,0.11328802421990944,-0.5922508514826557,-0.24520105775781248,1.196257789313804,-0.34910174095277957,0.024899800242423553,"(1, 2)",1,2
131033,-0.5483090811930724,-0.8544949812045565,0.2540652114215242,-0.03598597794741199,0.29611626921346346,-0.23389061045769632,-0.7543501541761954,0.01899752207033786,0.3271279656089218,-0.9776805906281961,-0.9351185220204419,-1.66025024387685,-0.5811608095893512,-0.56045516023779,1.1561936210685364,0.10645111152127294,0.6006548060726562,"(1, 1)",1,1
131034,1.476843983809322,-0.6069374090169681,0.35578613284708466,-0.2861049743305202,0.26597195925161515,-0.23240417213066022,-0.3257781806427091,1.0619357699205427,0.6098890532620899,0.37383516787289234,0.5021770203164649,0.9406714081664242,1.1454248682217263,0.7389935768663219,1.3127642571638434,0.18078509064241804,0.8204173482156981,"(1, 2)",1,2
