,doll_id,FA_merged_새벽기상,FA_merged_식전약,FA_merged_아침아침,FA_merged_식후약,FA_merged_저녁저녁,FA_merged_늦잠,FA_logEAR_겨울,FA_logEAR_활동다양성,FA_logEAR_여름,FA_logEAR_회상,FA_logEAR_종교,FA_logEAR_운동/퀴즈,FA_logEAR_영어,FA_logYMD_브레인,FA_logYMD_겨울,FA_logYMD_여름,FA_logYMD_봄,cluster,cluster_x,cluster_y,state_기타,state_문의/답변,state_안부,state_연결끊김,state_연락필요,reason기타,reason병원/수술,reason여행/친척/지인집,reason전원Off,call_send,emergency_month1,emergency_month2,emergency_month3,emergency_month4,emergency_month5,emergency_month6,emergency_month7,emergency_month8,emergency_month9,emergency_month10,emergency_month11,emergency_month12,emergency_hour0,emergency_hour1,emergency_hour2,emergency_hour3,emergency_hour4,emergency_hour5,emergency_hour6,emergency_hour7,emergency_hour8,emergency_hour9,emergency_hour10,emergency_hour11,emergency_hour12,emergency_hour13,emergency_hour14,emergency_hour15,emergency_hour16,emergency_hour17,emergency_hour18,emergency_hour19,emergency_hour20,emergency_hour21,emergency_hour22,emergency_hour23,emergency_night,emergency_evening,emergency_afternoon,emergency_morning,emergency_dawn,"cluster_(0, 0)","cluster_(0, 1)","cluster_(0, 2)","cluster_(1, 0)","cluster_(1, 1)","cluster_(1, 2)","cluster_(2, 0)","cluster_(2, 1)","cluster_(2, 2)",y_hat_emergency_month1,y_hat_emergency_month2,y_hat_emergency_month3,y_hat_emergency_month4,y_hat_emergency_month5,y_hat_emergency_month6,y_hat_emergency_month7,y_hat_emergency_month8,y_hat_emergency_month9,y_hat_emergency_month10,y_hat_emergency_month11,y_hat_emergency_month12,y_hat_emergency_hour0,y_hat_emergency_hour1,y_hat_emergency_hour2,y_hat_emergency_hour3,y_hat_emergency_hour4,y_hat_emergency_hour5,y_hat_emergency_hour6,y_hat_emergency_hour7,y_hat_emergency_hour8,y_hat_emergency_hour9,y_hat_emergency_hour10,y_hat_emergency_hour11,y_hat_emergency_hour12,y_hat_emergency_hour13,y_hat_emergency_hour14,y_hat_emergency_hour15,y_hat_emergency_hour16,y_hat_emergency_hour17,y_hat_emergency_hour18,y_hat_emergency_hour19,y_hat_emergency_hour20,y_hat_emergency_hour21,y_hat_emergency_hour22,y_hat_emergency_hour23,y_hat_emergency_night,y_hat_emergency_evening,y_hat_emergency_afternoon,y_hat_emergency_morning,y_hat_emergency_dawn
1479,133761,-0.7093754796205594,0.12850788549811756,0.4794417118137321,0.15255076633686848,-2.0162045488193288,0.014792578624191366,-0.819992358953682,1.2553496342866255,-0.5198729535275606,-0.7653691775931716,-0.7140394449881882,-0.2608320220107617,2.3278836313851516,-0.16391840922113587,-1.0817531292231224,-0.4401127358522709,-0.40598874016779,"(1, 1)",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0.014059908164789414,0.017419869259562404,0.033013805378640626,0.5247458758159459,0.41224955681574593,0.0,0.0,0.0028571428571427804,0.0064971587052228275,0.005385379103327814,0.00555657061400483,0.012524239253643987,0.5376225076067288,0.0013026224238850137,0.008636375716288613,0.009955037688835988,0.013959416461713392,0.016438997447298376,0.05576483146365563,0.06598512932736877,0.34494960870846525,0.10324779161218334,0.3216617292875743,0.15620973863782384,0.17629708358257912,0.16119403152003853,0.14545011313413259,0.17706855500588348,0.39104969950124613,0.5441044592212279,0.4309316449102929,0.1308795332475463,0.15193615357858925,0.3430681496131107,0.06161226404454878,0.02373771844003414,0.43880553392944954,0.6394738110495327,0.5146767786581451,0.5716915822654647,0.08404401589000321
1480,133763,-0.767943514558534,-0.2190424570100216,0.23546166290820425,-0.8106085708357211,0.3299665421441726,-0.4098811342197523,-1.0313397727188105,-0.5604287702635633,-0.4783316939430334,0.16418612940505636,-0.27660634157491065,2.000488360007925,0.10973110430962374,-0.7241951468600131,-1.2001986862168166,-0.5506916010803381,-1.1205596144618644,"(2, 0)",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0.007828940658260009,0.007932395418611793,0.004163720513467806,0.5063702655776947,0.08842416415874077,0.0,0.0,0.0,0.0,0.0008809186723296447,0.0,0.002606525299402973,0.0008238367716305595,0.0005801705861263606,0.00014438197342436787,0.006457528102249976,0.002719761153757605,0.00747728317473384,0.007486858155441811,0.025102806638704567,0.014414518779335972,0.02477146098299643,0.023678847516700352,0.04698047274669159,0.049507224404120365,0.03887878810945655,0.06257584335156208,0.08801047425155883,0.05202929869011541,0.023332129596513207,0.021029219366257568,0.06441639400051402,0.022171201824128794,0.15908180777050207,0.005901165930903396,0.01013347759722616,0.20386394264609664,0.07047743190623645,0.22595936301762143,0.09370622904842363,0.016014875532471162
1481,133764,-0.6356108722886575,-0.4296999971360659,0.3617267253860153,-0.2736119380689357,0.3220098680641505,-0.3056437432261955,-0.8255909798816538,0.8982354772186987,-0.4529280876763809,-0.7616987092781569,0.452636327485803,0.5327481763052125,0.7153237164531717,-0.6148895134225115,-1.0873461945624494,-0.4719723624939113,-0.41692337242084654,"(2, 1)",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0.002318729153120369,0.003492033702174435,0.006521213609075205,0.36965945523648447,0.11025414259570887,0.0,0.0,0.0,0.0,2.621781762879305e-05,0.0017543859649121751,0.0023741481645995766,0.009202064063880244,0.005871109606958358,0.0002972736730060266,0.004142420361141208,0.0012559644444671836,0.004832004976194959,0.005610840207384782,0.03639292381756376,0.04230072411215957,0.09413524356743919,0.2032547857908482,0.09087902651618196,0.0798040974561528,0.089022603884785,0.0882509678437442,0.2025437663070364,0.10597279052262942,0.05876357672478083,0.036991269044924,0.12069716058179192,0.08355312557326122,0.08854246942065802,0.010177804081580755,0.006745243515042354,0.10614728266694207,0.17936583939401507,0.4542392978202644,0.41387749013122566,0.01583373342300043
1482,133766,1.3725279118169602,-0.25353822018467675,0.2789495942822739,0.13037719019136906,0.2402359009373531,-0.38925031718391895,-0.7670672268290554,1.040901634623518,-0.5661220863567739,0.24358453017543025,1.0034443006202534,0.3007589612239724,-0.3266427523588637,-0.6484365688421916,-1.0748136824415395,-0.4595857378314454,-0.41377869307014375,"(2, 2)",2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0.0035393307558817533,0.006794098891119371,0.010510257204605633,0.5474615193710288,0.12169316443568967,0.0,0.0,0.0,0.0,0.0,0.004385964912280604,0.0018360744545647956,0.0033638552932550025,0.002079911244135091,0.0039066177303910266,0.0013603468067021618,0.004756954903862409,0.009888191498155785,0.029421148202841363,0.057881221015734785,0.05783661769821158,0.034314954650121576,0.18508688592633515,0.08095792183974237,0.11201565038483585,0.09353953229190382,0.0978842963841724,0.30581738145736903,0.11657912901924339,0.04293999376642044,0.10682844028984817,0.12602539580201022,0.04888083825454925,0.08231627538625963,0.02098919715094638,0.011724242750219771,0.07965792589050802,0.13481569855156228,0.5249874132498586,0.33998295686524893,0.035631569592559975
1483,133767,-0.8205133404207324,-0.33112480598321875,0.2982100367607224,-1.737675341184412,0.3587157737920666,-0.2130121012943544,-0.954366911303716,-0.8790053173278033,-0.6017865476780899,-0.9661316015658112,-1.0696490319243803,-1.4102581889234185,-0.7202028948301774,-0.6200875201601513,-1.0658892729002998,-0.4778746703413185,-0.3998839158740853,"(0, 0)",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0.00793687389044806,0.008492178373541548,0.00894440003275676,0.4618622402123992,0.2580441627652861,0.0,0.0,0.0,0.005657524961295901,0.0006021756021755698,0.027641536629739005,0.013094517013783613,0.0009805010729991848,0.000524336973452777,0.00019137464139040716,0.0004208435118460141,0.0004507297489844131,0.002288559153037939,0.0032902894334487787,0.044481730315638845,0.024060616044233596,0.2558768642643521,0.1024923894322941,0.1253579458324081,0.07132244764606399,0.18719385721364712,0.08373512785147241,0.09707891126936241,0.17345383619892307,0.09293715031459882,0.11782695915088881,0.30933032081063483,0.0699288710334316,0.06906258413992439,0.006083772555685929,0.0018102375992503639,0.0695397094288458,0.5255165594900177,0.4061248504917394,0.3216041856455144,0.009089576313139447
1484,133768,1.1775914319113931,0.4848408763971304,0.228625976605308,1.3501597378766268,0.2365291169760021,-0.5408632822798866,-1.0593916388120266,-1.685157721612009,-0.6407475572469892,1.2553005915143736,2.2246668970776384,-0.7456536507994993,0.096963989033964,-0.7633700157951375,-1.179709806515388,-0.5139148777930407,-1.1021643036898434,"(1, 1)",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0.004847311908881435,0.013753375798983392,0.001657999853376002,0.590537831509155,0.15033757690987726,0.0,0.0,0.0,0.0,0.00047483380816715215,0.0,0.0026290846557516234,0.0018197254330640789,0.006812213070735984,0.0003213121602728686,0.0007659642661815846,0.00042686681607884136,0.011697662120300767,0.011155711464883589,0.03233879394333705,0.01968751970199123,0.027761432595923563,0.039257612238301376,0.14083267285606083,0.016593096372897964,0.05709676721865642,0.043488063779823616,0.15447552363056194,0.07431893860998762,0.028481254294199787,0.0188968866564988,0.04594948556289602,0.02512238816330159,0.01491723410272161,0.011565947806022603,0.0014491620514649473,0.027422645225786413,0.06407269990378961,0.3104034630581368,0.33066968832495247,0.018284834802495986
1485,133769,-0.5925253450296575,0.16466249888892429,0.06435758942423454,0.5248539134586127,0.17838811257930948,0.7322262718966803,-0.8207724788432196,0.9777124572779798,-0.6343590352205462,0.7020717937982542,-0.3660782009617424,0.5007131217045137,0.8168519229299083,-0.7099917373451113,-1.1140409186012026,-0.5587082815537333,-0.4634821782329393,"(2, 1)",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.002318037486806368,0.00340770378190125,0.003499413916023597,0.22203695378291888,0.12345917581568311,0.0,0.0,0.0,0.0008713673402099831,0.0,0.0,0.0053889308430643545,0.004322234167368211,0.0007701919553931846,0.00034341271334636936,0.000838644565750446,0.0011799149076408,0.0038411270653687657,0.011889150402730198,0.03265233116561861,0.04963916793252221,0.041652503557242815,0.03800393672582203,0.06501803121820637,0.052842872981412436,0.06404432799500437,0.09103769669438122,0.09870473510180577,0.061270465532420215,0.03142206800913083,0.04967514247968641,0.06501508387636601,0.0373162903278742,0.057647062540391425,0.013275138536024023,0.004989125676919781,0.0748973707826408,0.10434270331212436,0.23058628900393452,0.1931787634557972,0.013282740789010816
1486,133770,1.3989948642445371,-0.5279524359214718,0.31584911946748684,-0.860042336079797,0.27090797063668104,-0.35532248693152824,-1.134330278268033,-1.9328054567961768,-0.5008810305254732,0.2314443952056209,1.2823338678510678,-0.5837786339932072,0.10398111495277933,-0.6613902613706878,-1.0798521451960594,-0.4562552676927756,-0.40858503984651545,"(0, 0)",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0.0023544056491447973,0.006795982701995551,0.013065269532864354,0.4292558449155891,0.1306831944068726,0.0,0.005291005291005235,0.0,0.005610186445341947,0.007723356332194453,0.0023481781376517574,0.00784796282554523,0.0010112530758323857,0.0005510580872524207,9.537831953043696e-05,0.0006327816385931495,0.00045654142873408077,0.005881486324948004,0.006044078795782393,0.02766841855502722,0.013206959176954025,0.04287901939092975,0.07733775529415843,0.1444271747892535,0.04002988646674399,0.08366018510110884,0.04778584842443656,0.14198518572382302,0.10011694560665374,0.0345953604805429,0.05021869488207642,0.08019377426636787,0.03566737796731645,0.03482732637514718,0.0072398715594304,0.002436867121173192,0.040623835934926356,0.10127826030864062,0.2571492562538059,0.28361254670583647,0.013249875620620633
1487,133771,1.3764374937875412,-0.27229903197295896,0.2622803357942393,0.121685139272888,0.2388964874000503,-0.38760337095383,-0.8378767033750194,0.3661029928053604,-0.6609314251016485,1.123630720282593,0.5144352425934675,1.5418878415539743,2.248450666783953,-0.584326808110747,-1.0968969950690002,-0.5287820910261698,-0.438485222253464,"(1, 1)",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0.001847709156124644,0.010677330461822843,0.007901329221280173,0.5629366911533388,0.10770563919728815,0.0,0.002645502645502784,0.0,0.0,0.0013295346628678928,0.004715251751670202,0.00753383396522922,0.0015760688017187885,0.0015115620537448082,0.000786747648970576,0.00092274103953216,0.013573496342772606,0.009677588054873176,0.02454175643394918,0.07380318447242562,0.21640232009253768,0.06273918894204178,0.18127355451029148,0.07103732164938115,0.2516545430548347,0.2404884513321871,0.16586096629285618,0.20012496963058146,0.11337679370718678,0.04720636899537278,0.25155051550840113,0.2808807537258836,0.2643770697028769,0.24498262864094988,0.028441447402671183,0.015074207478896984,0.38011680732241393,0.5320819063849613,0.5484580848777846,0.3912434900412405,0.024730160757474806
1488,133772,-0.6026859229261472,-0.5440713729968499,0.29432036513116505,0.33130665280429306,0.3078880368408471,-0.3965045536353879,-0.7589064083508922,1.2847957469624396,-0.5043810274954901,-0.10705541483659613,0.03927000353823596,0.35005423274376457,-0.34040882114389576,-0.6229976960035986,-1.0794079488058308,-0.4545038392361052,-0.41567834433120265,"(2, 1)",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0021475181074875893,0.004423185333120028,0.016930157076952557,0.6270394004744502,0.18550551169294927,0.0,0.0,0.0,0.0,0.0,0.0,0.0013196214287080066,0.0050257369393817974,0.006867450022043586,0.001004353398220581,0.004476513385358594,0.0006607067381352305,0.00402540182725919,0.01200044724952043,0.0430244142711822,0.06560916036487596,0.08437334252402495,0.10500555650256627,0.10343997304425223,0.21862009267720917,0.13512926764738875,0.0956169706351756,0.20506364924897436,0.09671051188382995,0.10646239160684179,0.05686650519872638,0.1681592003314506,0.07468990862134439,0.08978456777961319,0.02157465447871565,0.009635929153215872,0.10142948970078591,0.24516843646895436,0.5117341079487838,0.4041855043923209,0.023552538843401583
